id,"X","city","area","rooms","bathroom","parking.spaces","floor","animal","furniture","hoa","rent.amount","property.tax","fire.insurance","total"
"1084",1083,1,35,1,1,0,"18","acept","not furnished","R$250","R$1,850","R$0","R$24","R$2,124"
"1085",1084,1,60,2,2,1,"5","acept","not furnished","R$700","R$1,465","R$100","R$19","R$2,284"
"1086",1085,1,500,2,2,1,"-","acept","not furnished","R$129","R$2,260","R$0","R$34","R$2,423"
"1087",1086,1,238,4,5,3,"1","not acept","not furnished","R$2,500","R$15,000","R$375","R$58","R$17,930"
"1088",1087,1,127,3,2,2,"1","acept","not furnished","Sem info","R$5,000","R$250","R$76","R$5,326"
"1089",1088,1,298,4,4,3,"6","acept","not furnished","R$3,356","R$9,000","R$1,190","R$115","R$13,660"
"1090",1089,1,75,3,1,1,"9","acept","not furnished","R$950","R$2,951","R$233","R$12","R$4,146"
"1091",1090,0,105,2,2,2,"11","acept","not furnished","R$1,175","R$3,800","R$258","R$49","R$5,282"
"1092",1091,1,279,5,5,6,"3","acept","furnished","R$900","R$4,740","R$834","R$61","R$6,535"
"1093",1092,1,100,1,2,1,"13","not acept","not furnished","R$1,520","R$6,000","R$348","R$77","R$7,945"
"1094",1093,1,100,3,2,1,"12","acept","not furnished","R$700","R$1,946","R$0","R$7","R$2,653"
"1095",1094,1,120,4,2,2,"-","not acept","not furnished","R$0","R$4,500","R$89","R$68","R$4,657"
"1096",1095,1,98,3,2,1,"7","acept","furnished","R$850","R$3,318","R$0","R$27","R$4,195"
"1097",1096,0,550,5,6,8,"-","acept","not furnished","Sem info","R$10,600","R$578","R$160","R$11,340"
"1098",1097,1,100,3,2,6,"-","acept","not furnished","R$0","R$7,500","R$1,000","R$113","R$8,613"
"1099",1098,0,55,1,1,0,"5","not acept","not furnished","R$630","R$950","R$80","R$13","R$1,673"
"1100",1099,1,58,2,2,1,"1","acept","not furnished","R$934","R$2,588","R$76","R$10","R$3,608"
"1101",1100,1,180,3,3,1,"6","not acept","not furnished","R$1,650","R$7,500","R$850","R$96","R$10,100"
"1102",1101,1,22,1,1,0,"25","acept","not furnished","R$385","R$2,100","R$40","R$27","R$2,552"
"1103",1102,0,82,3,2,1,"1","acept","not furnished","R$650","R$1,200","R$100","R$16","R$1,966"
"1104",1103,0,194,3,2,3,"-","acept","not furnished","R$0","R$3,500","R$75","R$53","R$3,628"
"1105",1104,1,70,3,2,1,"1","acept","not furnished","R$840","R$2,300","R$30","R$30","R$3,200"
"1106",1105,1,67,2,2,2,"4","acept","furnished","R$883","R$4,675","R$256","R$60","R$5,874"
"1107",1106,1,100,3,2,2,"6","not acept","not furnished","R$1,200","R$2,000","R$0","R$26","R$3,226"
"1108",1107,1,60,2,2,1,"8","acept","not furnished","R$640","R$1,650","R$0","R$21","R$2,311"
"1109",1108,1,62,2,2,1,"5","acept","not furnished","R$510","R$2,500","R$158","R$32","R$3,200"
"1110",1109,1,44,1,1,0,"4","acept","furnished","R$450","R$2,500","R$30","R$32","R$3,012"
"1111",1110,1,66,2,2,1,"15","not acept","not furnished","R$862","R$2,748","R$31","R$35","R$3,676"
"1112",1111,1,86,2,1,1,"1","acept","not furnished","R$960","R$2,372","R$0","R$10","R$3,342"
"1113",1112,1,300,3,4,0,"-","acept","furnished","R$0","R$10,000","R$2,000","R$151","R$12,150"
"1114",1113,0,60,2,1,1,"7","acept","not furnished","R$486","R$900","R$74","R$12","R$1,472"
"1115",1114,0,65,2,1,1,"7","acept","not furnished","R$550","R$1,100","R$100","R$14","R$1,764"
"1116",1115,1,46,1,1,1,"5","acept","furnished","R$770","R$1,600","R$4","R$21","R$2,395"
"1117",1116,1,70,2,2,1,"13","acept","not furnished","R$849","R$4,400","R$150","R$56","R$5,455"
"1118",1117,1,110,2,2,0,"13","acept","not furnished","R$664","R$2,690","R$0","R$35","R$3,389"
"1119",1118,1,20,1,1,0,"3","not acept","furnished","R$300","R$600","R$40","R$8","R$948"
"1120",1119,1,200,3,3,3,"3","acept","not furnished","R$3,162","R$4,790","R$876","R$61","R$8,889"
"1121",1120,1,150,3,3,2,"10","acept","not furnished","R$1,570","R$4,000","R$515","R$51","R$6,136"
"1122",1121,1,120,3,1,0,"-","acept","not furnished","R$0","R$2,200","R$0","R$34","R$2,234"
"1123",1122,1,176,3,4,3,"20","not acept","not furnished","R$2,004","R$9,500","R$584","R$121","R$12,210"
"1124",1123,0,40,1,1,1,"2","not acept","not furnished","R$1,300","R$1,000","R$0","R$13","R$2,313"
"1125",1124,1,350,3,6,4,"28","acept","furnished","R$2,100","R$12,000","R$1,417","R$153","R$15,670"
"1126",1125,1,65,2,2,1,"3","acept","not furnished","R$870","R$1,613","R$0","R$6","R$2,489"
"1127",1126,1,35,1,1,1,"4","acept","furnished","R$510","R$1,850","R$0","R$24","R$2,384"
"1128",1127,0,88,1,1,2,"-","acept","not furnished","R$678","R$2,200","R$24","R$28","R$2,930"
"1129",1128,1,106,2,2,2,"1","not acept","furnished","R$1,170","R$10,600","R$334","R$135","R$12,240"
"1130",1129,1,220,4,4,1,"19","acept","not furnished","R$1,800","R$4,000","R$650","R$51","R$6,501"
"1131",1130,1,40,1,1,0,"2","acept","not furnished","R$250","R$1,020","R$70","R$13","R$1,353"
"1132",1131,0,70,3,1,1,"1","acept","not furnished","R$600","R$1,500","R$17","R$20","R$2,137"
"1133",1132,1,227,4,4,3,"7","not acept","furnished","R$2,000","R$15,000","R$750","R$191","R$17,940"
"1134",1133,1,208,3,3,2,"2","acept","furnished","R$2,354","R$7,000","R$552","R$89","R$9,995"
"1135",1134,1,238,4,3,1,"7","acept","not furnished","R$2,515","R$5,000","R$575","R$64","R$8,154"
"1136",1135,1,161,3,3,3,"17","acept","not furnished","R$2,700","R$10,000","R$667","R$127","R$13,490"
"1137",1136,1,85,3,2,2,"3","acept","not furnished","R$1,050","R$2,350","R$217","R$30","R$3,647"
"1138",1137,1,192,2,3,1,"1","acept","furnished","R$2,300","R$12,000","R$446","R$153","R$14,900"
"1139",1138,0,71,2,1,1,"3","acept","not furnished","R$670","R$1,130","R$114","R$15","R$1,929"
"1140",1139,1,55,1,1,0,"13","acept","not furnished","R$400","R$1,300","R$0","R$17","R$1,717"
"1141",1140,0,219,4,5,2,"4","acept","furnished","R$1,954","R$3,800","R$472","R$49","R$6,275"
"1142",1141,1,200,2,2,1,"-","acept","not furnished","Sem info","R$2,300","R$92","R$35","R$2,427"
"1143",1142,1,50,1,1,0,"-","not acept","not furnished","R$0","R$1,266","R$57","R$4","R$1,327"
"1144",1143,1,90,2,1,0,"-","acept","not furnished","R$0","R$2,800","R$170","R$43","R$3,013"
"1145",1144,1,45,1,1,1,"1","not acept","furnished","R$3,000","R$5,520","R$0","R$70","R$8,590"
"1146",1145,1,120,2,2,1,"3","not acept","furnished","R$782","R$3,300","R$0","R$42","R$4,124"
"1147",1146,1,170,3,2,1,"5","acept","not furnished","R$2,215","R$4,500","R$293","R$58","R$7,066"
"1148",1147,1,400,4,3,4,"-","acept","not furnished","R$0","R$3,760","R$2,084","R$57","R$5,901"
"1149",1148,1,42,1,1,1,"3","acept","not furnished","R$450","R$2,700","R$52","R$35","R$3,237"
"1150",1149,1,31,1,1,1,"3","not acept","furnished","R$2,000","R$1,990","R$125","R$26","R$4,141"
"1151",1150,1,350,3,5,3,"-","acept","not furnished","R$0","R$4,500","R$17","R$68","R$4,585"
"1152",1151,1,62,1,1,0,"4","acept","furnished","R$670","R$2,300","R$0","R$30","R$3,000"
"1153",1152,1,83,2,3,2,"8","acept","not furnished","R$1,555","R$3,200","R$735","R$41","R$5,531"
"1154",1153,1,35,1,1,0,"1","not acept","not furnished","R$250","R$1,305","R$0","R$17","R$1,572"
"1155",1154,1,147,3,2,2,"4","acept","not furnished","R$1,313","R$3,600","R$414","R$46","R$5,373"
"1156",1155,1,208,4,4,3,"5","acept","not furnished","R$3,600","R$12,000","R$1,084","R$153","R$16,840"
"1157",1156,1,30,1,1,0,"-","acept","not furnished","R$0","R$750","R$59","R$12","R$821"
"1158",1157,1,97,2,2,2,"3","acept","not furnished","R$1,400","R$2,200","R$42","R$28","R$3,670"
"1159",1158,1,30,1,1,0,"-","not acept","not furnished","R$0","R$920","R$0","R$14","R$934"
"1160",1159,1,104,3,2,2,"8","acept","not furnished","R$1,300","R$3,300","R$289","R$42","R$4,931"
"1161",1160,1,230,4,3,3,"-","acept","not furnished","R$2,270","R$8,200","R$1,060","R$124","R$11,650"
"1162",1161,1,20,1,1,0,"4","not acept","furnished","R$150","R$3,142","R$67","R$40","R$3,399"
"1163",1162,1,298,4,4,1,"-","acept","not furnished","R$0","R$3,000","R$0","R$46","R$3,046"
"1164",1163,1,127,2,1,2,"-","acept","not furnished","R$0","R$2,250","R$247","R$34","R$2,531"
"1165",1164,0,60,3,2,1,"3","acept","not furnished","R$452","R$800","R$50","R$11","R$1,313"
"1166",1165,1,54,2,2,1,"11","acept","not furnished","R$954","R$2,800","R$190","R$36","R$3,980"
"1167",1166,0,262,3,4,4,"-","acept","not furnished","R$1,953","R$9,500","R$745","R$143","R$12,340"
"1168",1167,1,19,1,1,0,"-","not acept","not furnished","R$0","R$1,200","R$0","R$16","R$1,216"
"1169",1168,1,55,2,1,1,"1","acept","furnished","R$300","R$2,200","R$84","R$28","R$2,612"
"1170",1169,1,120,2,1,1,"-","not acept","not furnished","R$0","R$1,300","R$50","R$20","R$1,370"
"1171",1170,1,88,3,4,2,"5","acept","not furnished","R$486","R$3,900","R$305","R$50","R$4,741"
"1172",1171,1,136,3,2,2,"9","not acept","not furnished","R$1,650","R$6,818","R$332","R$87","R$8,887"
"1173",1172,1,130,3,1,1,"-","acept","not furnished","R$0","R$2,000","R$0","R$31","R$2,031"
"1174",1173,0,48,1,1,1,"1","not acept","not furnished","R$450","R$550","R$42","R$7","R$1,049"
"1175",1174,1,53,3,2,1,"13","not acept","not furnished","R$420","R$2,000","R$67","R$26","R$2,513"
"1176",1175,1,320,4,5,5,"-","acept","not furnished","R$0","R$10,870","R$1,417","R$164","R$12,450"
"1177",1176,0,52,1,1,1,"8","not acept","furnished","R$1,000","R$2,300","R$50","R$30","R$3,380"
"1178",1177,1,20,1,1,0,"-","acept","furnished","R$602","R$1,800","R$130","R$23","R$2,555"
"1179",1178,1,75,2,1,3,"5","not acept","not furnished","R$700","R$2,500","R$250","R$32","R$3,482"
"1180",1179,1,90,3,1,0,"-","not acept","not furnished","R$270","R$2,200","R$225","R$34","R$2,729"
"1181",1180,1,95,2,2,1,"-","acept","not furnished","R$0","R$2,400","R$180","R$37","R$2,617"
"1182",1181,1,70,1,1,1,"-","not acept","not furnished","Incluso","R$1,100","R$0","R$17","R$1,117"
"1183",1182,1,25,1,1,0,"9","acept","furnished","R$160","R$1,820","R$0","R$24","R$2,004"
"1184",1183,1,230,3,4,2,"3","acept","not furnished","R$2,000","R$4,800","R$292","R$61","R$7,153"
"1185",1184,1,89,3,2,2,"15","not acept","not furnished","R$935","R$5,418","R$0","R$20","R$6,373"
"1186",1185,1,129,2,2,1,"6","acept","furnished","R$1,507","R$13,000","R$308","R$165","R$14,980"
"1187",1186,1,42,1,1,1,"-","acept","furnished","R$675","R$3,600","R$82","R$46","R$4,403"
"1188",1187,1,255,4,4,3,"13","acept","furnished","Incluso","R$11,900","R$0","R$151","R$12,050"
"1189",1188,1,192,3,4,2,"13","acept","not furnished","R$1,600","R$8,500","R$0","R$108","R$10,210"
"1190",1189,1,99,2,1,1,"6","not acept","not furnished","R$1,300","R$4,300","R$125","R$55","R$5,780"
"1191",1190,1,50,2,1,1,"1","acept","not furnished","R$400","R$1,050","R$0","R$8","R$1,458"
"1192",1191,0,48,1,2,0,"2","acept","furnished","R$704","R$1,234","R$46","R$16","R$2,000"
"1193",1192,1,99,2,1,1,"-","acept","not furnished","R$0","R$3,650","R$230","R$55","R$3,935"
"1194",1193,1,33,1,1,1,"7","not acept","not furnished","R$560","R$1,219","R$0","R$8","R$1,787"
"1195",1194,1,93,3,2,2,"25","not acept","furnished","R$650","R$3,500","R$125","R$45","R$4,320"
"1196",1195,1,49,1,1,1,"10","acept","not furnished","R$480","R$3,500","R$42","R$45","R$4,067"
"1197",1196,1,50,1,1,0,"9","not acept","furnished","R$850","R$2,480","R$20","R$32","R$3,382"
"1198",1197,1,100,3,3,1,"-","acept","not furnished","R$0","R$2,400","R$0","R$37","R$2,437"
"1199",1198,1,110,2,1,1,"10","not acept","not furnished","R$705","R$1,800","R$0","R$23","R$2,528"
"1200",1199,1,800,4,7,8,"-","acept","not furnished","R$0","R$12,000","R$1,667","R$181","R$13,850"
"1201",1200,1,210,4,5,2,"1","acept","furnished","R$3,800","R$8,500","R$0","R$108","R$12,410"
"1202",1201,1,80,3,1,0,"-","not acept","not furnished","R$185","R$2,100","R$0","R$27","R$2,312"
"1203",1202,1,196,2,3,3,"8","acept","not furnished","R$3,210","R$5,500","R$73","R$70","R$8,853"
"1204",1203,1,160,1,4,2,"2","not acept","not furnished","R$1,000","R$3,500","R$10","R$45","R$4,555"
"1205",1204,1,250,5,3,6,"-","acept","not furnished","R$0","R$15,000","R$2,704","R$226","R$17,930"
"1206",1205,1,160,4,4,3,"2","acept","not furnished","R$2,500","R$11,000","R$0","R$140","R$13,640"
"1207",1206,1,189,4,3,2,"5","not acept","furnished","R$2,300","R$6,500","R$584","R$83","R$9,467"
"1208",1207,1,93,2,1,1,"11","acept","not furnished","R$760","R$3,200","R$0","R$41","R$4,001"
"1209",1208,1,500,4,6,6,"-","acept","not furnished","R$0","R$5,930","R$2,084","R$90","R$8,104"
"1210",1209,0,57,2,1,1,"3","not acept","not furnished","R$343","R$850","R$67","R$11","R$1,271"
"1211",1210,0,76,3,1,1,"8","not acept","not furnished","R$484","R$1,100","R$63","R$14","R$1,661"
"1212",1211,1,240,4,5,5,"9","acept","furnished","R$3,442","R$9,900","R$1,529","R$126","R$15,000"
"1213",1212,1,240,3,4,3,"1","acept","furnished","R$5,100","R$11,000","R$1,834","R$140","R$18,070"
"1214",1213,1,400,3,5,4,"11","acept","not furnished","R$3,800","R$3,800","R$1,250","R$49","R$8,899"
"1215",1214,1,68,3,1,1,"1","acept","not furnished","R$560","R$1,460","R$115","R$19","R$2,154"
"1216",1215,1,80,2,2,1,"7","acept","not furnished","R$831","R$3,800","R$9","R$49","R$4,689"
"1217",1216,1,205,4,4,2,"14","acept","not furnished","R$3,050","R$10,800","R$517","R$137","R$14,500"
"1218",1217,1,250,3,3,1,"9","acept","not furnished","R$2,000","R$6,500","R$292","R$83","R$8,875"
"1219",1218,1,120,2,3,2,"10","acept","furnished","R$1,500","R$9,000","R$542","R$115","R$11,160"
"1220",1219,1,68,2,1,1,"9","acept","not furnished","R$0","R$1,850","R$0","R$24","R$1,874"
"1221",1220,1,65,2,1,1,"3","acept","not furnished","R$315","R$1,400","R$47","R$18","R$1,780"
"1222",1221,1,720,4,5,5,"17","acept","not furnished","R$6,471","R$6,500","R$3,520","R$83","R$16,570"
"1223",1222,1,40,1,1,0,"1","not acept","not furnished","R$150","R$1,047","R$0","R$14","R$1,211"
"1224",1223,1,75,2,1,0,"5","acept","furnished","R$1,310","R$1,283","R$0","R$17","R$2,610"
"1225",1224,1,150,2,2,2,"-","acept","not furnished","R$0","R$2,640","R$0","R$40","R$2,680"
"1226",1225,1,34,1,1,0,"11","not acept","not furnished","R$370","R$2,800","R$74","R$36","R$3,280"
"1227",1226,0,135,3,2,2,"-","acept","not furnished","R$0","R$1,700","R$25","R$26","R$1,751"
"1228",1227,1,36,1,1,0,"3","not acept","not furnished","R$500","R$1,900","R$77","R$25","R$2,502"
"1229",1228,1,60,2,1,1,"1","acept","not furnished","R$670","R$2,058","R$0","R$9","R$2,737"
"1230",1229,1,280,3,3,8,"-","acept","not furnished","R$0","R$13,000","R$4,234","R$196","R$17,430"
"1231",1230,1,156,3,3,3,"20","acept","not furnished","R$1,600","R$4,900","R$917","R$63","R$7,480"
"1232",1231,1,60,1,1,1,"7","acept","not furnished","R$1,300","R$3,070","R$217","R$39","R$4,626"
"1233",1232,0,60,2,1,1,"1","not acept","furnished","R$385","R$2,848","R$64","R$37","R$3,334"
"1234",1233,1,150,4,2,1,"-","acept","not furnished","R$0","R$3,900","R$0","R$59","R$3,959"
"1235",1234,1,120,3,2,2,"1","acept","not furnished","R$2,450","R$4,636","R$875","R$59","R$8,020"
"1236",1235,1,64,3,1,1,"2","acept","not furnished","R$470","R$1,200","R$110","R$16","R$1,796"
"1237",1236,1,238,4,4,3,"1","acept","furnished","R$2,569","R$15,000","R$542","R$191","R$18,300"
"1238",1237,1,127,3,2,1,"12","not acept","not furnished","R$1,655","R$3,900","R$350","R$50","R$5,955"
"1239",1238,1,87,2,2,2,"15","acept","not furnished","R$663","R$3,700","R$257","R$47","R$4,667"
"1240",1239,1,300,4,4,0,"7","acept","furnished","R$2,700","R$9,600","R$500","R$122","R$12,920"
"1241",1240,1,60,2,1,0,"1","acept","not furnished","R$191","R$1,500","R$150","R$20","R$1,861"
"1242",1241,1,270,6,3,6,"-","acept","not furnished","R$0","R$4,500","R$417","R$68","R$4,985"
"1243",1242,1,142,3,3,2,"15","acept","not furnished","R$1,600","R$9,000","R$475","R$115","R$11,190"
"1244",1243,1,35,1,1,0,"3","acept","not furnished","R$315","R$1,649","R$0","R$21","R$1,985"
"1245",1244,1,55,2,1,0,"-","acept","not furnished","Sem info","R$1,600","R$50","R$25","R$1,675"
"1246",1245,1,129,4,4,2,"14","acept","furnished","R$1,180","R$8,900","R$387","R$113","R$10,580"
"1247",1246,1,30,1,1,1,"14","not acept","not furnished","R$1,379","R$1,660","R$18","R$22","R$3,079"
"1248",1247,1,89,2,2,1,"5","acept","not furnished","R$1,542","R$2,300","R$238","R$30","R$4,110"
"1249",1248,1,98,3,2,2,"6","acept","furnished","R$961","R$2,500","R$180","R$32","R$3,673"
"1250",1249,1,277,4,4,6,"5","acept","not furnished","R$4,200","R$3,800","R$1,947","R$49","R$9,996"
"1251",1250,1,80,2,2,2,"15","acept","not furnished","R$2,000","R$11,000","R$0","R$140","R$13,140"
"1252",1251,1,113,2,1,1,"5","acept","not furnished","R$1,000","R$3,000","R$50","R$39","R$4,089"
"1253",1252,1,25,1,1,0,"1","not acept","not furnished","R$0","R$1,200","R$35","R$16","R$1,251"
"1254",1253,1,212,3,4,4,"4","acept","not furnished","R$3,400","R$10,000","R$1,250","R$127","R$14,780"
"1255",1254,0,53,2,1,1,"3","acept","not furnished","R$345","R$850","R$15","R$11","R$1,221"
"1256",1255,1,235,3,4,3,"2","acept","not furnished","R$2,000","R$2,550","R$1,000","R$33","R$5,583"
"1257",1256,1,100,1,2,2,"8","acept","not furnished","R$700","R$2,000","R$150","R$18","R$2,868"
"1258",1257,0,140,4,3,2,"14","acept","not furnished","R$1,030","R$3,500","R$220","R$45","R$4,795"
"1259",1258,1,51,1,2,1,"3","not acept","furnished","R$1,062","R$2,100","R$27","R$27","R$3,216"
"1260",1259,0,80,2,1,1,"-","not acept","not furnished","R$0","R$1,100","R$28","R$17","R$1,145"
"1261",1260,1,244,3,4,2,"7","acept","furnished","R$3,500","R$12,000","R$648","R$153","R$16,300"
"1262",1261,1,220,4,4,3,"12","acept","not furnished","R$3,600","R$5,100","R$892","R$65","R$9,657"
"1263",1262,1,97,3,2,2,"14","acept","not furnished","R$1,600","R$1,700","R$125","R$22","R$3,447"
"1264",1263,1,25,1,1,0,"-","acept","not furnished","R$20","R$1,200","R$25","R$19","R$1,264"
"1265",1264,1,100,3,2,1,"4","not acept","furnished","R$950","R$2,700","R$71","R$35","R$3,756"
"1266",1265,1,69,2,1,0,"4","acept","not furnished","R$525","R$3,000","R$0","R$22","R$3,547"
"1267",1266,0,143,3,2,3,"-","acept","not furnished","R$0","R$1,700","R$70","R$26","R$1,796"
"1268",1267,1,48,1,1,1,"3","acept","not furnished","R$660","R$3,300","R$110","R$42","R$4,112"
"1269",1268,0,380,4,6,3,"-","acept","not furnished","R$0","R$4,000","R$455","R$61","R$4,516"
"1270",1269,1,340,5,4,2,"7","acept","not furnished","R$220,000","R$12,000","R$1,000","R$153","R$233,200"
"1271",1270,0,165,3,2,0,"-","acept","not furnished","R$0","R$3,000","R$129","R$46","R$3,175"
"1272",1271,1,137,3,3,1,"9","acept","furnished","R$1,200","R$5,500","R$303","R$70","R$7,073"
"1273",1272,1,33,2,1,0,"6","acept","not furnished","R$300","R$1,900","R$0","R$25","R$2,225"
"1274",1273,1,120,4,3,2,"8","acept","not furnished","R$2,010","R$2,210","R$334","R$28","R$4,582"
"1275",1274,1,150,4,3,0,"2","acept","not furnished","R$0","R$2,850","R$275","R$37","R$3,162"
"1276",1275,1,218,4,4,4,"3","not acept","not furnished","R$2,488","R$4,930","R$1,454","R$63","R$8,935"
"1277",1276,1,160,4,3,3,"3","acept","not furnished","R$1,600","R$7,000","R$542","R$89","R$9,231"
"1278",1277,1,85,2,1,0,"4","acept","furnished","R$620","R$2,190","R$0","R$28","R$2,838"
"1279",1278,1,230,3,3,0,"9","acept","furnished","R$1,700","R$5,000","R$109","R$64","R$6,873"
"1280",1279,1,40,1,1,0,"-","not acept","not furnished","R$0","R$970","R$63","R$15","R$1,048"
"1281",1280,1,160,4,5,3,"2","acept","furnished","R$1,623","R$3,800","R$834","R$49","R$6,306"
"1282",1281,0,92,3,2,3,"6","acept","not furnished","R$700","R$2,100","R$167","R$27","R$2,994"
"1283",1282,1,23,1,1,0,"2","not acept","not furnished","R$30","R$950","R$34","R$13","R$1,027"
"1284",1283,1,53,2,2,1,"9","not acept","not furnished","R$722","R$2,100","R$0","R$27","R$2,849"
"1285",1284,1,260,3,2,3,"10","acept","not furnished","R$3,000","R$8,500","R$1,084","R$108","R$12,690"
"1286",1285,1,140,3,1,0,"-","acept","not furnished","R$0","R$2,700","R$167","R$41","R$2,908"
"1287",1286,1,236,4,5,7,"4","acept","furnished","R$3,000","R$10,800","R$1,084","R$137","R$15,020"
"1288",1287,1,250,3,3,3,"-","acept","not furnished","R$0","R$3,210","R$0","R$49","R$3,259"
"1289",1288,1,30,2,1,0,"-","acept","not furnished","Sem info","R$1,500","R$5","R$23","R$1,528"
"1290",1289,1,280,4,4,1,"1","acept","furnished","R$3,000","R$8,000","R$292","R$102","R$11,390"
"1291",1290,1,103,3,1,3,"2","acept","not furnished","R$1,054","R$3,400","R$94","R$44","R$4,592"
"1292",1291,1,60,1,1,0,"-","acept","furnished","R$0","R$4,100","R$400","R$62","R$4,562"
"1293",1292,1,62,2,1,1,"1","acept","not furnished","R$580","R$1,650","R$92","R$21","R$2,343"
"1294",1293,1,20,1,1,0,"-","acept","furnished","R$602","R$1,800","R$130","R$23","R$2,555"
"1295",1294,1,278,3,2,1,"11","acept","not furnished","R$2,640","R$7,800","R$601","R$99","R$11,140"
"1296",1295,1,42,2,1,1,"18","acept","not furnished","R$500","R$1,200","R$0","R$16","R$1,716"
"1297",1296,1,260,4,5,5,"6","acept","not furnished","R$3,000","R$12,500","R$1,667","R$159","R$17,330"
"1298",1297,1,160,3,3,2,"1","acept","furnished","R$1,990","R$12,650","R$360","R$161","R$15,160"
"1299",1298,1,200,4,4,3,"5","acept","furnished","R$2,300","R$10,200","R$803","R$130","R$13,430"
"1300",1299,1,52,2,1,1,"8","acept","not furnished","R$760","R$3,000","R$145","R$39","R$3,944"
"1301",1300,1,100,2,2,1,"10","acept","furnished","R$1,190","R$1,625","R$66","R$7","R$2,888"
"1302",1301,1,75,2,2,1,"14","acept","not furnished","R$736","R$2,629","R$0","R$10","R$3,375"
"1303",1302,0,30,1,1,0,"-","not acept","not furnished","R$0","R$1,400","R$0","R$22","R$1,422"
"1304",1303,1,70,2,2,1,"1","not acept","not furnished","R$280","R$1,000","R$138","R$13","R$1,431"
"1305",1304,1,55,2,1,0,"-","acept","not furnished","R$0","R$2,000","R$75","R$31","R$2,106"
"1306",1305,1,23,1,1,0,"25","acept","not furnished","R$399","R$2,150","R$0","R$28","R$2,577"
"1307",1306,1,250,3,4,3,"8","acept","not furnished","R$2,850","R$9,000","R$834","R$115","R$12,800"
"1308",1307,1,240,4,5,3,"4","acept","not furnished","R$3,500","R$15,000","R$1,250","R$191","R$19,940"
"1309",1308,1,110,2,1,1,"-","acept","not furnished","R$0","R$1,500","R$163","R$23","R$1,686"
"1310",1309,0,52,2,1,1,"4","acept","furnished","R$320","R$1,800","R$70","R$23","R$2,213"
"1311",1310,1,20,1,1,0,"5","not acept","furnished","R$420","R$1,700","R$54","R$22","R$2,196"
"1312",1311,1,40,1,1,0,"-","not acept","not furnished","R$0","R$780","R$17","R$12","R$809"
"1313",1312,1,35,1,1,1,"4","not acept","not furnished","R$570","R$1,200","R$46","R$16","R$1,832"
"1314",1313,1,92,3,1,2,"3","acept","furnished","R$418","R$2,200","R$0","R$28","R$2,646"
"1315",1314,1,700,4,6,6,"-","acept","not furnished","R$0","R$12,500","R$2,176","R$188","R$14,860"
"1316",1315,1,50,1,1,1,"7","acept","furnished","R$2,000","R$2,000","R$382","R$26","R$4,408"
"1317",1316,1,141,3,3,2,"3","acept","not furnished","R$1,100","R$7,935","R$167","R$101","R$9,303"
"1318",1317,1,60,2,2,1,"14","not acept","furnished","R$2,435","R$2,600","R$184","R$33","R$5,252"
"1319",1318,1,333,3,4,4,"27","acept","furnished","R$1,700","R$13,000","R$500","R$165","R$15,370"
"1320",1319,1,48,1,1,0,"3","acept","not furnished","R$90","R$950","R$90","R$26","R$1,156"
"1321",1320,1,101,3,4,2,"4","not acept","furnished","R$1,037","R$6,664","R$359","R$85","R$8,145"
"1322",1321,1,35,1,1,1,"2","acept","not furnished","R$762","R$2,850","R$84","R$37","R$3,733"
"1323",1322,1,312,3,6,3,"-","acept","furnished","R$0","R$6,300","R$1,063","R$95","R$7,458"
"1324",1323,1,40,1,1,0,"14","not acept","furnished","R$810","R$3,800","R$162","R$49","R$4,821"
"1325",1324,1,45,1,1,1,"2","not acept","furnished","R$1,900","R$4,200","R$350","R$54","R$6,504"
"1326",1325,1,145,3,3,2,"1","acept","furnished","R$1,088","R$5,800","R$250","R$74","R$7,212"
"1327",1326,1,350,3,4,5,"-","acept","not furnished","Incluso","R$5,500","R$1,092","R$83","R$6,675"
"1328",1327,1,170,3,3,1,"6","acept","not furnished","R$1,300","R$2,260","R$200","R$29","R$3,789"
"1329",1328,1,270,3,3,2,"8","acept","furnished","R$3,370","R$5,500","R$995","R$70","R$9,935"
"1330",1329,1,70,2,2,0,"-","not acept","not furnished","R$0","R$3,800","R$90","R$58","R$3,948"
"1331",1330,1,50,2,1,1,"6","acept","furnished","R$400","R$1,900","R$0","R$15","R$2,315"
"1332",1331,1,33,1,1,1,"19","not acept","furnished","R$400","R$3,413","R$0","R$12","R$3,825"
"1333",1332,0,70,3,1,1,"1","acept","not furnished","R$650","R$1,300","R$17","R$17","R$1,984"
"1334",1333,1,240,3,2,3,"-","acept","not furnished","R$0","R$5,900","R$500","R$89","R$6,489"
"1335",1334,1,53,1,1,1,"4","acept","not furnished","R$690","R$4,398","R$200","R$56","R$5,344"
"1336",1335,1,50,2,1,1,"-","acept","not furnished","R$500","R$1,060","R$5","R$14","R$1,579"
"1337",1336,1,55,2,1,1,"7","not acept","not furnished","R$784","R$3,900","R$135","R$50","R$4,869"
"1338",1337,1,500,5,6,5,"-","acept","not furnished","R$0","R$12,500","R$1,898","R$188","R$14,590"
"1339",1338,1,380,2,4,0,"21","acept","furnished","R$3,490","R$6,800","R$2,863","R$87","R$13,240"
"1340",1339,1,48,1,1,1,"4","acept","not furnished","R$633","R$3,400","R$114","R$44","R$4,191"
"1341",1340,1,30,1,1,0,"1","acept","furnished","R$350","R$3,300","R$0","R$42","R$3,692"
